Game ID,Game Title,Unit Price,Units Per Bundle,Bundle Price,Bundle ID
490,"$25,000,000 MEGA MONEY",$50,50,"$2,500",65558
387,BILLION DOLLAR EXTRAVAGANZA,$50,50,"$2,500",43214
404,300X,$30,50,"$1,500",787865
373,MILLIONS,$30,50,"$1,500",236583
489,200X,$20,100,"$2,000",415893
536,"$2,000,000 STACKED",$20,100,"$2,000",389321
523,"$5,000,000 100X CASHWORD",$20,100,"$2,000",454545
409,"$10,000,000 CASH BLAST",$20,100,"$2,000",874561
445,BONUS 100X,$10,100,"$1,000",980032
488,100X,$10,100,"$1,000",329777
432,JAWS,$10,100,"$1,000",994931
419,777,$10,100,"$1,000",310294
408,INSTANT $500s,$10,100,"$1,000",984905
403,100X CASH,$10,100,"$1,000",558229
444,BONUS 50X,$5,100,$500,771998
487,50X,$5,100,$500,182965
472,BIG BLUE BONUS CASHWORD,$5,100,$500,171998
510,GHOSTBUSTERS,$5,100,$500,440448
455,LUCKY 13,$5,100,$500,767809
450,GAME OF THRONES,$5,100,$500,857693
467,EMERALD MINE 50X,$5,100,$500,225253
474,TRIPLE 777,$5,100,$500,225355
342,MONEY MONEY MONEY,$5,100,$500,425678
366,ELECTRIC 7s,$5,100,$500,98745
443,BONUS 20X,$2,200,$400,875439
486,20X,$2,200,$400,890031
449,THE INSTANT GAME,$2,200,$400,141231
415,BINGO,$2,200,$400,898923